2048	3	0   0
762	227	848	582
763	848	582	580
764	226	847	848
765	227	846	848
766	228	846	847
767	846	847	848
768	5	385	381
769	127	849	381
770	129	849	385
771	849	385	381
772	49	386	586
773	229	850	586
774	129	850	386
775	850	386	586
776	48	382	585
777	229	851	585
778	127	851	382
779	851	382	585
780	229	850	851
781	127	849	851
782	129	849	850
783	849	850	851
784	20	453	383
785	128	852	383
786	163	852	453
787	852	453	383
788	66	454	588
789	230	853	588
790	163	853	454
791	853	454	588
792	48	384	587
793	230	854	587
794	128	854	384
795	854	384	587
796	230	853	854
797	128	852	854
798	163	852	853
799	852	853	854
800	21	455	387
801	130	855	387
802	164	855	455
803	855	455	387
804	66	456	590
805	231	856	590
806	164	856	456
807	856	456	590
808	49	388	589
809	231	857	589
810	130	857	388
811	857	388	589
812	231	856	857
813	130	855	857
814	164	855	856
815	855	856	857
816	66	590	588
817	230	858	588
818	231	858	590
819	858	590	588
820	49	589	586
821	229	859	586
822	231	859	589
823	859	589	586
824	48	587	585
825	229	860	585
826	230	860	587
827	860	587	585
828	229	859	860
829	230	858	860
830	231	858	859
831	858	859	860
832	6	389	373
833	123	861	373
834	131	861	389
835	861	389	373
836	50	390	592
837	232	862	592
838	131	862	390
839	862	390	592
840	46	374	591
841	232	863	591
842	123	863	374
843	863	374	591
844	232	862	863
845	123	861	863
846	131	861	862
847	861	862	863
848	19	457	375
849	124	864	375
850	165	864	457
851	864	457	375
852	67	458	594
853	233	865	594
854	165	865	458
855	865	458	594
856	46	376	593
857	233	866	593
858	124	866	376
859	866	376	593
860	233	865	866
861	124	864	866
862	165	864	865
863	864	865	866
864	21	459	391
865	132	867	391
866	166	867	459
867	867	459	391
868	67	460	596
869	234	868	596
870	166	868	460
871	868	460	596
872	50	392	595
873	234	869	595
874	132	869	392
875	869	392	595
876	234	868	869
877	132	867	869
878	166	867	868
879	867	868	869
880	67	596	594
881	233	870	594
882	234	870	596
883	870	596	594
884	50	595	592
885	232	871	592
886	234	871	595
887	871	595	592
888	46	593	591
889	232	872	591
890	233	872	593
891	872	593	591
892	232	871	872
893	233	870	872
894	234	870	871
895	870	871	872
896	4	377	369
897	121	873	369
898	125	873	377
899	873	377	369
900	47	378	598
901	235	874	598
902	125	874	378
903	874	378	598
904	45	370	597
905	235	875	597
906	121	875	370
907	875	370	597
908	235	874	875
909	121	873	875
910	125	873	874
911	873	874	875
912	19	461	371
913	122	876	371
914	167	876	461
915	876	461	371
916	68	462	600
917	236	877	600
918	167	877	462
919	877	462	600
920	45	372	599
921	236	878	599
922	122	878	372
923	878	372	599
924	236	877	878
925	122	876	878
926	167	876	877
927	876	877	878
928	20	463	379
929	126	879	379
930	168	879	463
931	879	463	379
932	68	464	602
933	237	880	602
934	168	880	464
935	880	464	602
936	47	380	601
937	237	881	601
938	126	881	380
939	881	380	601
940	237	880	881
941	126	879	881
942	168	879	880
943	879	880	881
944	68	602	600
945	236	882	600
946	237	882	602
947	882	602	600
948	47	601	598
949	235	883	598
950	237	883	601
951	883	601	598
952	45	599	597
953	235	884	597
954	236	884	599
955	884	599	597
956	235	883	884
957	236	882	884
958	237	882	883
959	882	883	884
960	19	457	461
961	167	885	461
962	165	885	457
963	885	457	461
964	67	458	603
965	238	886	603
966	165	886	458
967	886	458	603
968	68	462	604
969	238	887	604
970	167	887	462
971	887	462	604
972	238	886	887
973	167	885	887
974	165	885	886
975	885	886	887
976	20	453	463
977	168	888	463
978	163	888	453
979	888	453	463
980	66	454	605
981	239	889	605
982	163	889	454
983	889	454	605
984	68	464	606
985	239	890	606
986	168	890	464
987	890	464	606
988	239	889	890
989	168	888	890
990	163	888	889
991	888	889	890
992	21	455	459
993	166	891	459
994	164	891	455
995	891	455	459
996	66	456	607
997	240	892	607
998	164	892	456
999	892	456	607
1000	67	460	608
1001	240	893	608
1002	166	893	460
1003	893	460	608
1004	240	892	893
1005	166	891	893
1006	164	891	892
1007	891	892	893
1008	66	607	605
1009	239	894	605
1010	240	894	607
1011	894	607	605
1012	67	608	603
1013	238	895	603
1014	240	895	608
1015	895	608	603
1016	68	606	604
1017	238	896	604
1018	239	896	606
1019	896	606	604
1020	238	895	896
1021	239	894	896
1022	240	894	895
1023	894	895	896
1024	0	353	321
1025	97	897	321
1026	113	897	353
1027	897	353	321
1028	41	354	610
1029	241	898	610
1030	113	898	354
1031	898	354	610
1032	33	322	609
1033	241	899	609
1034	97	899	322
1035	899	322	609
1036	241	898	899
1037	97	897	899
1038	113	897	898
1039	897	898	899
1040	13	465	323
1041	98	900	323
1042	169	900	465
1043	900	465	323
1044	69	466	612
1045	242	901	612
1046	169	901	466
1047	901	466	612
1048	33	324	611
1049	242	902	611
1050	98	902	324
1051	902	324	611
1052	242	901	902
1053	98	900	902
1054	169	900	901
1055	900	901	902
1056	17	467	355
1057	114	903	355
1058	170	903	467
1059	903	467	355
1060	69	468	614
1061	243	904	614
1062	170	904	468
1063	904	468	614
1064	41	356	613
1065	243	905	613
1066	114	905	356
1067	905	356	613
1068	243	904	905
1069	114	903	905
1070	170	903	904
1071	903	904	905
1072	69	614	612
1073	242	906	612
1074	243	906	614
1075	906	614	612
1076	41	613	610
1077	241	907	610
1078	243	907	613
1079	907	613	610
1080	33	611	609
1081	241	908	609
1082	242	908	611
1083	908	611	609
1084	241	907	908
1085	242	906	908
1086	243	906	907
1087	906	907	908
1088	8	357	397
1089	135	909	397
1090	115	909	357
1091	909	357	397
1092	42	358	615
1093	244	910	615
1094	115	910	358
1095	910	358	615
1096	52	398	616
1097	244	911	616
1098	135	911	398
1099	911	398	616
1100	244	910	911
1101	135	909	911
1102	115	909	910
1103	909	910	911
1104	22	471	399
1105	136	912	399
1106	172	912	471
1107	912	471	399
1108	70	472	618
1109	245	913	618
1110	172	913	472
1111	913	472	618
1112	52	400	617
1113	245	914	617
1114	136	914	400
1115	914	400	617
1116	245	913	914
1117	136	912	914
1118	172	912	913
1119	912	913	914
1120	17	469	359
1121	116	915	359
1122	171	915	469
1123	915	469	359
1124	70	470	620
1125	246	916	620
1126	171	916	470
1127	916	470	620
1128	42	360	619
1129	246	917	619
1130	116	917	360
1131	917	360	619
1132	246	916	917
1133	116	915	917
1134	171	915	916
1135	915	916	917
1136	70	620	618
1137	245	918	618
1138	246	918	620
1139	918	620	618
1140	42	619	615
1141	244	919	615
1142	246	919	619
1143	919	619	615
1144	52	617	616
1145	244	920	616
1146	245	920	617
1147	920	617	616
1148	244	919	920
1149	245	918	920
1150	246	918	919
1151	918	919	920
1152	6	325	393
1153	133	921	393
1154	99	921	325
1155	921	325	393
1156	34	326	621
1157	247	922	621
1158	99	922	326
1159	922	326	621
1160	51	394	622
1161	247	923	622
1162	133	923	394
1163	923	394	622
1164	247	922	923
1165	133	921	923
1166	99	921	922
1167	921	922	923
1168	22	475	395
1169	134	924	395
1170	174	924	475
1171	924	475	395
1172	71	476	624
1173	248	925	624
1174	174	925	476
1175	925	476	624
1176	51	396	623
1177	248	926	623
1178	134	926	396
1179	926	396	623
1180	248	925	926
1181	134	924	926
1182	174	924	925
1183	924	925	926
1184	13	473	327
1185	100	927	327
1186	173	927	473
1187	927	473	327
1188	71	474	626
1189	249	928	626
1190	173	928	474
1191	928	474	626
1192	34	328	625
1193	249	929	625
1194	100	929	328
1195	929	328	625
1196	249	928	929
1197	100	927	929
1198	173	927	928
1199	927	928	929
1200	71	626	624
1201	248	930	624
1202	249	930	626
1203	930	626	624
1204	34	625	621
1205	247	931	621
1206	249	931	625
1207	931	625	621
1208	51	623	622
1209	247	932	622
1210	248	932	623
1211	932	623	622
1212	247	931	932
1213	248	930	932
1214	249	930	931
1215	930	931	932
1216	22	471	475
1217	174	933	475
1218	172	933	471
1219	933	471	475
1220	70	472	627
1221	250	934	627
1222	172	934	472
1223	934	472	627
1224	71	476	628
1225	250	935	628
1226	174	935	476
1227	935	476	628
1228	250	934	935
1229	174	933	935
1230	172	933	934
1231	933	934	935
1232	13	465	473
1233	173	936	473
1234	169	936	465
1235	936	465	473
1236	69	466	629
1237	251	937	629
1238	169	937	466
1239	937	466	629
1240	71	474	630
1241	251	938	630
1242	173	938	474
1243	938	474	630
1244	251	937	938
1245	173	936	938
